nom_club,url_ffhb
stade clermontois handball,https://monclub.ffhandball.fr/clubs/stade-clermontois-handball/
us issoire handball,https://monclub.ffhandball.fr/clubs/us-issoire-handball/
hb chamalieres,https://monclub.ffhandball.fr/clubs/hb-chamalieres/
hbc orcinois,https://monclub.ffhandball.fr/clubs/hbc-orcinois/
hbc riomois,https://monclub.ffhandball.fr/clubs/hbc-riomois/
al aubiere handball,https://monclub.ffhandball.fr/clubs/al-aubiere-handball/
handball club cournon dauvergne,https://monclub.ffhandball.fr/clubs/handball-club-cournon-dauvergne/
as pontgibaud handball,https://monclub.ffhandball.fr/clubs/as-pontgibaud-handball/
as romagnatoise hb,https://monclub.ffhandball.fr/clubs/as-romagnatoise-hb/
handball club perignat,https://monclub.ffhandball.fr/clubs/handball-club-perignat/
hbc des domes,https://monclub.ffhandball.fr/clubs/hbc-des-domes/
livradois forez handball club,https://monclub.ffhandball.fr/clubs/livradois-forez-handball-club/
manzat communaute hand,https://monclub.ffhandball.fr/clubs/manzat-communaute-hand/
chatel handball club,https://monclub.ffhandball.fr/clubs/chatel-handball-club/
cs puy guillaume handball,https://monclub.ffhandball.fr/clubs/cs-puy-guillaume-handball/
us vernines handball,https://monclub.ffhandball.fr/clubs/us-vernines-handball/
h b c beaune,https://monclub.ffhandball.fr/clubs/h-b-c-beaune/
s e beaune,https://monclub.ffhandball.fr/clubs/s-e-beaune/
roualet sport,https://monclub.ffhandball.fr/clubs/roualet-sport/
union sportive cheminote venarey les laumes,https://monclub.ffhandball.fr/clubs/union-sportive-cheminote-venarey-les-laumes/
association omnisports arnay le duc,https://monclub.ffhandball.fr/clubs/association-omnisports-arnay-le-duc/
etoile auxonnaise hb,https://monclub.ffhandball.fr/clubs/etoile-auxonnaise-hb/
la chatillonnaise h b,https://monclub.ffhandball.fr/clubs/la-chatillonnaise-h-b/
chevigny st sauveur handball,https://monclub.ffhandball.fr/clubs/chevigny-st-sauveur-handball/
hbc couchey fixin gevrey,https://monclub.ffhandball.fr/clubs/hbc-couchey-fixin-gevrey/
cs fontaine les dijon handball,https://monclub.ffhandball.fr/clubs/cs-fontaine-les-dijon-handball/
club sportif intercommunal de la tille genlis,https://monclub.ffhandball.fr/clubs/club-sportif-intercommunal-de-la-tille-genlis/
r is sur tille,https://monclub.ffhandball.fr/clubs/r-is-sur-tille/
a s c l e laignes h b,https://monclub.ffhandball.fr/clubs/a-s-c-l-e-laignes-h-b/
mirebeau sporting club handball,https://monclub.ffhandball.fr/clubs/mirebeau-sporting-club-handball/
alc longvic,https://monclub.ffhandball.fr/clubs/alc-longvic/
cl marsannay h b,https://monclub.ffhandball.fr/clubs/cl-marsannay-h-b/
hbc meursault,https://monclub.ffhandball.fr/clubs/hbc-meursault/
nolay handball,https://monclub.ffhandball.fr/clubs/nolay-handball/
handball pays nuiton,https://monclub.ffhandball.fr/clubs/handball-pays-nuiton/
cs pernand vergelesses,https://monclub.ffhandball.fr/clubs/cs-pernand-vergelesses/
hbc semur en auxois,https://monclub.ffhandball.fr/clubs/hbc-semur-en-auxois/
jl seurre,https://monclub.ffhandball.fr/clubs/jl-seurre/
hbc talant,https://monclub.ffhandball.fr/clubs/hbc-talant/
hbc varois arc,https://monclub.ffhandball.fr/clubs/hbc-varois-arc/
a o gazelec dijon,https://monclub.ffhandball.fr/clubs/a-o-gazelec-dijon/
a s c municipale dijon,https://monclub.ffhandball.fr/clubs/a-s-c-municipale-dijon/
enseignants hospitaliers beaunois,https://monclub.ffhandball.fr/clubs/enseignants-hospitaliers-beaunois/
association sportive culturelle dentraide de lequipement,https://monclub.ffhandball.fr/clubs/association-sportive-culturelle-dentraide-de-lequipement/
as auxois,https://monclub.ffhandball.fr/clubs/as-auxois/
